ARBITRARY,GLYPH,NAME,APPEARANCE,JAPANESE_NAME,SHUFFLED,SHUFFLE_CLASS,SLOT,COST,WEIGHT,PRICE,GEN_CURSED,AC,MATERIAL,MC,SPECIAL
36,1988,gray dragon scale mail,gray dragon scale mail,,FALSE,,suit,1200,40,0,,9,D,1,Magic
38,2023,mummy wrapping,mummy wrapping,,FALSE,,cloak,2,3,0,,0,C,1,Vis
39,2025,orcish cloak,coarse mantelet,,FALSE,,cloak,40,10,8,,0,C,1,
40,2026,dwarvish cloak,hooded cloak,,FALSE,,cloak,50,10,8,,0,C,1,
41,2030,leather cloak,leather cloak,,FALSE,,cloak,40,15,8,,1,L,1,
43,2027,oilskin cloak,slippery cloak,,FALSE,,cloak,50,10,10,,1,C,2,Water
44,2029,alchemy smock,apron,,FALSE,,cloak,50,10,9,,1,C,1,Poi+Acid
48,2028,robe,robe,,FALSE,,cloak,50,15,3,,2,C,2,Spell
51,1980,fedora,fedora,,FALSE,,helmet,1,3,0,,0,C,1,
52,1982,dunce cap,conical hat,,FALSE,,helmet,1,4,3,,0,C,1,Stupid
53,1981,cornuthaum,conical hat,,FALSE,,helmet,80,4,3,,0,C,1,Clair
54,1983,dented pot,dented pot,,FALSE,,helmet,8,10,2,,1,I,1,
55,1977,elven leather helm,leather hat,,FALSE,,helmet,8,3,6,,1,L,1,
57,1978,orcish helm,iron skull cap,,FALSE,,helmet,10,30,6,,1,I,1,
61,1979,dwarvish iron helm,hard hat,,FALSE,,helmet,20,40,6,,2,I,1,
68,2035,small shield,small shield,,FALSE,,off-hand,3,30,6,,1,W,1,
69,2038,orcish shield,red-eyed shield,,FALSE,,off-hand,7,50,2,,1,I,1,
70,2037,Uruk-hai shield,white-handed shield,,FALSE,,off-hand,7,50,2,,1,I,1,
71,2036,elven shield,blue and green shield,,FALSE,,off-hand,7,40,2,,2,W,1,
72,2040,dwarvish roundshield,large round shield,,FALSE,,off-hand,10,100,4,,2,I,1,
73,2039,large shield,large shield,,FALSE,,off-hand,10,100,7,,2,I,1,
74,2041,shield of reflection,polished silver shield,,FALSE,,off-hand,50,50,3,,2,S,1,Reflect
76,2046,low boots,walking shoes,,FALSE,,boots,8,10,25,,1,L,1,
84,2048,high boots,jackboots,,FALSE,,boots,12,20,15,,2,L,1,
85,2047,iron shoes,hard shoes,,FALSE,,boots,16,50,7,,2,I,1,
42,2034,cloak of displacement,piece of cloth,,TRUE,cloak,cloak,50,10,10,,1,C,1,Displ
45,2032,cloak of invisibility,opera cloak,,TRUE,cloak,cloak,60,10,10,,1,C,1,Invis
46,2033,cloak of magic resistance,ornamental cope,,TRUE,cloak,cloak,60,10,2,,1,C,1,Magic
47,2024,elven cloak,faded pall,,TRUE,cloak,cloak,60,10,8,,1,C,1,Stealth
49,2031,cloak of protection,tattered cape,,TRUE,cloak,cloak,50,10,9,,3,C,3,Prot
56,1984,helmet,plumed helmet,kabuto,TRUE,helmet,helmet,10,30,10,,1,I,1,
58,1985,helm of brilliance,etched helmet,,TRUE,helmet,helmet,50,50,6,,1,I,1,Int+Wis
59,1986,helm of opposite alignment,crested helmet,,TRUE,helmet,helmet,50,50,6,TRUE,1,I,1,Align
60,1987,helm of telepathy,visored helmet,,TRUE,helmet,helmet,50,50,2,,1,I,1,ESP
63,2042,leather gloves,old gloves,yugake,TRUE,gloves,gloves,8,10,16,,1,L,1,
64,2045,gauntlets of dexterity,fencing gloves,,TRUE,gloves,gloves,50,10,8,,1,L,1,Dex
65,2043,gauntlets of fumbling,padded gloves,,TRUE,gloves,gloves,50,10,8,TRUE,1,L,1,Fumble
66,2044,gauntlets of power,riding gloves,,TRUE,gloves,gloves,50,30,8,,1,I,1,Str
77,2052,elven boots,mud boots,,TRUE,boots,boots,8,15,12,,1,L,1,Stealth
78,2053,kicking boots,buckled boots,,TRUE,boots,boots,8,15,12,,1,I,1,Kick
79,2054,fumble boots,riding boots,,TRUE,boots,boots,30,20,12,TRUE,1,L,1,Fumble
80,2055,levitation boots,snow boots,,TRUE,boots,boots,30,15,12,TRUE,1,L,1,Lev
81,2051,jumping boots,hiking boots,,TRUE,boots,boots,50,20,12,,1,L,1,Jump
82,2049,speed boots,combat boots,,TRUE,boots,boots,50,20,12,,1,L,1,Speed
83,2050,water walking boots,jungle boots,,TRUE,boots,boots,50,20,12,,1,L,1,WWalk
